name|translation|question|answer
14June_2010_Monday_heute-1598|also heute nacht erstmal weniger schauer dann in der zweiten nachthälfte wieder neue schauer von südwesten|Was wird heute Nacht in der ersten und zweiten Nachthälfte erwartet?|In der ersten Nachthälfte weniger Schauer, in der zweiten Nachthälfte wieder neue Schauer von Südwesten.
14June_2010_Monday_heute-1599|sonst aber teilweise klar oder nur leicht bewölkt|Wie war das Wetter sonst?|Teilweise klar oder nur leicht bewölkt.
14June_2010_Monday_heute-1600|und es wird auch sehr kühl mal wieder|Wann wird es wieder sehr kühl?|Es wird mal wieder sehr kühl.
14June_2010_Monday_heute-1601|wir haben nur einstellige temperaturen vor allen dingen im norden|Wann haben wir nur einstellige Temperaturen?|Vor allen Dingen im Norden.
14June_2010_Monday_heute-1602|und morgen aber dort in der kühlen trockenen luft sehr viel sonne so etwa bis zu den mittelgebirgen|Wann wird es dort in der kühlen trockenen Luft sehr viel Sonne geben?|Morgen.
14June_2010_Monday_heute-1603|aber so zwischen mittelgebirgen und am alpenrand mehr wolken und vor allen dingen so von der schwäbischen alb bis zum bayerischen wald und zum alpenrand häufiger schauer im südosten auch vereinzelt gewitter|Wo kommen häufiger Schauer und vereinzelt Gewitter vor?|Zwischen der Schwäbischen Alb und dem Bayerischen Wald sowie am Alpenrand.
14June_2010_Monday_heute-1604|von der temperatur her im süden sind es so zwanzig bis dreiundzwanzig grad im küstenbereich siebzehn achtzehn grad und sonst so neunzehn bis zweiundzwanzig grad also ganz angenehm|Wie hoch sind die Temperaturen im Süden?|Im Süden sind es zwanzig bis dreiundzwanzig Grad.
14June_2010_Monday_heute-1605|ähnlich wird es auch in den nächsten tagen aussehen bis fünfundzwanzig grad höchsttemperatur|Wie wird das Wetter in den nächsten Tagen sein?|Es wird ähnlich aussehen mit einer Höchsttemperatur von bis zu fünfundzwanzig Grad.
14June_2010_Monday_heute-1606|im süden eher mal schauer oder gewitter im norden trockener und sonniger|Was wird im Süden eher stattfinden, Schauer oder Sonne?|Im Süden werden eher Schauer oder Gewitter stattfinden.
14June_2010_Monday_heute-1607|und jetzt wünsche ich ihnen noch einen spannenden abend|Was wünscht die Person für die Zukunft?|Ein spannender Abend.
07February_2011_Monday_tagesschau-1608|und nun die wettervorhersage für morgen dienstag den achten februar|Für welchen Tag ist die Wettervorhersage angegeben?|Für morgen, Dienstag, den achten Februar.
07February_2011_Monday_tagesschau-1609|ein sturmtief zieht in der nacht über den süden schwedens richtung ostsee|Wann zieht das Sturmtief über den Süden Schwedens?|In der Nacht.
07February_2011_Monday_tagesschau-1610|ein ausläufer davon überquert erst den nordwesten deutschlands dann die mitte sodass es in der nacht nur im süden klar bleibt|Was passiert zuerst im nordwesten Deutschlands in Bezug auf das Wetter?|Ein Ausläufer überquert zuerst den nordwesten Deutschlands.
07February_2011_Monday_tagesschau-1611|am tag ganz im süden freundliches wetter auch in der nordhälfte zeigt sich neben einigen wolken mehr und mehr die sonne dazwischen von rheinland pfalz bis nach franken regnet es zunächst stellenweise etwas|Was passiert zunächst in Rheinland-Pfalz bis nach Franken?|Zunächst regnet es stellenweise etwas.
07February_2011_Monday_tagesschau-1614|heute nacht werte zwischen sechs und ein grad im süden frost|Welche Temperaturen werden heute Nacht im Süden erwartet?|Werte zwischen sechs und ein Grad.
07February_2011_Monday_tagesschau-1615|am tag fünf grad im vogtland und zwölf grad im breisgau|Was ist die Temperatur am Tag im Vogtland?|Fünf Grad.
07February_2011_Monday_tagesschau-1616|die aussichten am mittwoch ist es im nordwesten wolkig sonst ist es abseits von nebel und hochnebel freundlich|Wann sind die Aussichten im Nordwesten wolkig?|Am Mittwoch.
07February_2011_Monday_tagesschau-1617|am donnerstag regnet es in der nordhälfte gebietsweise richtung süden außerhalb der nebelgebiete sonne|An welchem Wochentag regnet es in der Nordhälfte?|Am Donnerstag.
07February_2011_Monday_tagesschau-1618|am freitag regenwolken im nordosten ist es zum teil freundlich|Was passiert am Freitag im Nordosten?|Am Freitag gibt es Regenwolken, aber es ist zum Teil freundlich.
07April_2010_Wednesday_heute-1620|ein seltener tag heute|Was für ein Tag ist heute?|Heute ist ein seltener Tag.
07April_2010_Wednesday_heute-1621|verbreitet schien die sonne von der küste wie hier in neustadt holstein bis zu den alpen hier ein blick auf das alpenpanorama immer noch schneebedeckt heute am späten vormittag in der sonne|Wann schien die Sonne in Neustadt Holstein?|Am späten Vormittag.
07April_2010_Wednesday_heute-1622|aber die wetterlage stellt sich leicht um es kommen dichtere wolken samt tief und auch eine kleine abkühlung|Was wird in der Wetterlage erwartet?|Es kommen dichtere Wolken und eine kleine Abkühlung.
07April_2010_Wednesday_heute-1623|aber es wird nicht viel regen geben denn über frankreich entsteht schon wieder das nächste hoch|Was wird über Frankreich entstehen?|Das nächste Hoch.
07April_2010_Wednesday_heute-1624|und das aber bedeutet trotzdem heute nacht immer noch ein paar tropfen aus diesen wolken im westen|Was bedeutet heute Nacht in dem Satz?|Heute Nacht bedeutet, dass es sich um das Nachtzeitfenster nach dem aktuellen Tag handelt.
07April_2010_Wednesday_heute-1625|im osten klar und dort auch entsprechend kalt|Was wird im Osten beschrieben?|Im Osten ist es klar und kalt.
07April_2010_Wednesday_heute-1627|und auch so zwischen ostsee und eifel oder auch am oberrhein können gelegentlich ein paar regentropfen fallen viel wird es aber nicht sein|Wo können gelegentlich Regentropfen fallen?|Zwischen Ostsee und Eifel oder am Oberrhein.
07April_2010_Wednesday_heute-1628|von der temperatur her dort auch schon die etwas kühlere luft so zehn bis fünfzehn grad|Was wird über die Temperatur in der genannten Region gesagt?|Es wird gesagt, dass die Lufttemperatur dort ungefähr zehn bis fünfzehn Grad beträgt.
07April_2010_Wednesday_heute-1629|aber bei sonne werden durchaus nochmal sechzehn bis zwanzig grad erreicht|Welche Temperaturen werden bei Sonnenschein erreicht?|Sechzehn bis zwanzig Grad.
18July_2009_Saturday_tagesschau-1633|und nun die wettervorhersage für morgen sonntag den neunzehnten juli|Wann ist die Wettervorhersage, die erwähnt wird?|Für morgen, Sonntag, den neunzehnten Juli.
18July_2009_Saturday_tagesschau-1635|erst am dienstag gibt es zumindest im norden und osten unter leichtem hochdruckeinfluss ein sonniges intermezzo bevor am mittwoch wieder ein neues tief heranzieht|Wann gibt es im Norden und Osten ein sonniges Intermezzo?|Erst am Dienstag.
18July_2009_Saturday_tagesschau-1636|im äußersten osten und südosten fällt heute nacht zeitweise regen sonst werden die schauer seltener zum teil klart es auf|Was wird heute Nacht im äußersten Osten und Südosten fallen?|Zeitweise Regen.
18July_2009_Saturday_tagesschau-1637|im westen und südwesten werden die wolken aber wieder dichter und es beginnt gebietsweise zu regnen|Wo wird es wieder dichter und wann beginnt es zu regnen?|Im Westen und Südwesten werden die Wolken dichter, und es beginnt gebietsweise zu regnen.
18July_2009_Saturday_tagesschau-1641|morgen werte zwischen fünfzehn und einundzwanzig im südwesten bis zweiundzwanzig grad|Welche Temperaturen werden morgen im Südwesten erwartet?|Zwischen fünfzehn und einundzwanzig Grad bis zweiundzwanzig Grad.
18July_2009_Saturday_tagesschau-1642|auch am montag noch wechselhaft aber schon wieder etwas wärmer|Wie wird das Wetter am Montag im Vergleich zu vorher sein?|Am Montag wird das Wetter wechselhaft, aber etwas wärmer sein.
18July_2009_Saturday_tagesschau-1643|am dienstag im norden und osten häufig sonnig und meist trocken sonst örtliche schauer oder gewitter bis dreißig grad|Was wird am Dienstag im Norden und Osten erwartet?|Häufig sonnig und meist trocken, sonst örtliche Schauer oder Gewitter bis dreißig Grad.
18July_2009_Saturday_tagesschau-1644|am mittwoch wieder mehr wolken verbreitet gibt es schauer teilweise auch heftige gewitter|Wann gibt es am Mittwoch mehr Wolken und Schauer?|Am Mittwoch gibt es mehr Wolken und Schauer.
13October_2009_Tuesday_tagesschau-1645|und nun die wettervorhersage für morgen mittwoch den vierzehnten oktober|Wann ist die Wettervorhersage, die erwähnt wird?|Die Wettervorhersage ist für morgen, Mittwoch, den vierzehnten Oktober.
13October_2009_Tuesday_tagesschau-1646|von norden strömt noch kältere luft zu uns nach deutschland|Woher strömt die kältere Luft zu uns nach Deutschland?|Die kältere Luft strömt von Norden zu uns nach Deutschland.
13October_2009_Tuesday_tagesschau-1647|im osten und südosten sorgt das tief über osteuropa für unbeständiges wetter|Was verursacht das unbeständige Wetter im Osten und Südosten?|Das tief über Osteuropa sorgt für unbeständiges Wetter.
13October_2009_Tuesday_tagesschau-1648|teilweise schneit es bis in tiefe lagen|Wie lange schneit es laut der Aussage?|Es schneit teilweise bis in tiefe Lagen.
13October_2009_Tuesday_tagesschau-1649|in der nacht im süden und osten regen oder schneeschauer|Wann wird es im Süden und Osten Regen oder Schneeschauer geben?|In der Nacht.
13October_2009_Tuesday_tagesschau-1650|auch am tag im osten und südosten schnee oder schneeregen teilweise bis ins flachland|Was wird tagsüber im Osten und Südosten erwartet?|Schnee oder Schneeregen wird tagsüber im Osten und Südosten erwartet.
13October_2009_Tuesday_tagesschau-1652|im westen und nordwesten scheint dagegen häufig die sonne|Wo scheint häufig die Sonne?|Im Westen und Nordwesten.
13October_2009_Tuesday_tagesschau-1653|in der westhälfte schwacher bis mäßiger nordwind in der osthälfte und an der nordsee mäßiger bis frischer wind|Wie ist der Wind in der Westhälfte und der Osthälfte?|In der Westhälfte ist der Wind schwach bis mäßig, in der Osthälfte mäßig bis frisch.
13October_2009_Tuesday_tagesschau-1654|im erzgebirge und im bayerischen wald schwere sturmböen|Wo treten schwere Sturmböen auf?|Im Erzgebirge und im Bayerischen Wald.
13October_2009_Tuesday_tagesschau-1655|heute nacht plus vier bis minus drei grad vorsicht wegen glätte|Was wird heute Nacht bezüglich der Temperatur erwartet?|Es wird zwischen plus vier und minus drei Grad erwartet.
13October_2009_Tuesday_tagesschau-1656|am tag ein grad an den alpen und bis zu zehn grad an der ems|Wie hoch sind die Temperaturen tagsüber an den Alpen und an der Ems?|Ein Grad an den Alpen und bis zu zehn Grad an der Ems.
13October_2009_Tuesday_tagesschau-1660|richtung südosten schnee oder schneeregen|Was wird im Südosten erwartet, Schnee oder Schneeregen?|Im Südosten wird Schnee oder Schneeregen erwartet.
13October_2009_Tuesday_tagesschau-1661|vor allem im norden ist es sehr windig|Wo ist es vor allem sehr windig?|Vor allem im Norden.
13October_2009_Tuesday_tagesschau-1662|am samstag im süden und osten hier und da regen im bergland auch schnee sonst auch mal sonne|Was wird am Samstag im Bergland erwartet?|Im Bergland wird am Samstag Regen und auch Schnee erwartet.
03July_2011_Sunday_tagesschau-1663|und nun die wettervorhersage für morgen montag den vierten juli|An welchem Tag bezieht sich die Wettervorhersage?|Die Wettervorhersage bezieht sich auf morgen, Montag, den vierten Juli.
03July_2011_Sunday_tagesschau-1664|das tief das nach russland zieht sorgt morgen in der nordosthälfte deutschlands auch weiterhin für unbeständiges wetter|Wann wird das unbeständige Wetter in der Nordosthälfte Deutschlands weiterhin erwartet?|Morgen.
03July_2011_Sunday_tagesschau-1666|in der nacht regnet oder schauert es in der nordosthälfte nordöstlich der elbe sind einzelne gewitter dabei|Was passiert in der Nacht in der nordosthälfte nordöstlich der Elbe?|In der Nacht regnet oder schauert es und es gibt einzelne Gewitter.
03July_2011_Sunday_tagesschau-1667|mit wolken geht es tagsüber in der nordosthälfte weiter|Wann geht es mit Wolken weiter in der Nordosthälfte?|Tagsüber.
03July_2011_Sunday_tagesschau-1668|vor allem zwischen ostseeküste und erzgebirge regnet oder schauert es richtung südwesten scheint verbreitet die sonne|Wo regnet es vor allem, und wo scheint die Sonne?|Vor allem zwischen Ostseeküste und Erzgebirge regnet es, während in Richtung Südwesten verbreitet die Sonne scheint.
03July_2011_Sunday_tagesschau-1669|der wind weht schwach bis mäßig und kommt aus nord bis nordwest|Wie stark weht der Wind und aus welcher Richtung kommt er?|Der Wind weht schwach bis mäßig und kommt aus nord bis nordwest.
03July_2011_Sunday_tagesschau-1670|heute nacht siebzehn grad an der ostsee und fünf grad an den alpen|Wie viel Grad wird es heute Nacht an der Ostsee?|Siebzehn Grad.
03July_2011_Sunday_tagesschau-1671|am tag siebzehn grad in oberfranken und sechsundzwanzig grad am oberrhein|Wie hoch ist die Temperatur in Oberfranken am Tag?|Die Temperatur in Oberfranken ist am Tag siebzehn Grad.
03July_2011_Sunday_tagesschau-1675|vor allem in der südosthälfte muss dann mit schauern und gewittern gerechnet werden die mitunter kräftig ausfallen können|Wann muss man in der südosthälfte mit Schauern und Gewittern rechnen?|Vor allem dann muss man damit rechnen.
13April_2011_Wednesday_tagesschau-1676|und nun die wettervorhersage für morgen donnerstag den vierzehnten april|Wann ist die Wettervorhersage angesagt?|Für morgen, Donnerstag, den vierzehnten April.
13April_2011_Wednesday_tagesschau-1677|das hoch über der biskaya dehnt sich nach mitteleuropa aus und beschert uns in den nächsten tagen verbreitet sonne die auch die temperaturen langsam ansteigen lässt|Welche Wetterveränderungen sind in den nächsten Tagen zu erwarten?|In den nächsten Tagen wird verbreitet Sonne erwartet, die die Temperaturen langsam ansteigen lässt.
13April_2011_Wednesday_tagesschau-1678|im osten deutschlands sorgt tiefer luftdruck noch für wolken und regen|Was sorgt im Osten Deutschlands für Wolken und Regen?|Tiefer Luftdruck sorgt für Wolken und Regen.
13April_2011_Wednesday_tagesschau-1679|von mecklenburg vorpommern bis nach sachsen sind auch heute nacht dichte wolken unterwegs|Welche Art von Wetter wird heute Nacht von Mecklenburg-Vorpommern bis nach Sachsen erwartet?|Dichte Wolken.
13April_2011_Wednesday_tagesschau-1680|gebietsweise regnet es oberhalb von etwa fünfhundert metern fällt schnee|Wann fällt oberhalb von etwa fünfhundert Metern Schnee?|Gebietsweise fällt Schnee, wenn es regnet.
13April_2011_Wednesday_tagesschau-1681|sonst zeigen sich neben einigen wolkenfeldern auch die sterne|Was zeigen sich neben den Wolkenfeldern?|Die Sterne.
13April_2011_Wednesday_tagesschau-1682|im nordosten auch am tag viele wolken örtlich fällt regen im bergland ist doch schnee dabei|Wann fällt der Regen im nordosten und was ist im bergland dabei?|Am Tag fällt örtlich Regen im nordosten, und im bergland ist Schnee dabei.
13April_2011_Wednesday_tagesschau-1684|der wind weht morgen schwach bis mäßig aus nord bis nordwest|Wann wird der Wind wehen?|Der Wind wird morgen wehen.
13April_2011_Wednesday_tagesschau-1685|nordöstlich der elbe heute nacht unter wolken bis plus fünf am alpenrand bis minus vier grad|Wie wird das Wetter in der Nacht nordöstlich der Elbe sein?|Es wird bewölkt und bis plus fünf Grad warm sein.
13April_2011_Wednesday_tagesschau-1686|an rhein und main morgen vierzehn bis fünfzehn in sachsen bei regen teilweise nur fünf grad|Wie wird das Wetter morgen in Sachsen sein?|Es wird regnerisch sein und teilweise nur fünf Grad.
13April_2011_Wednesday_tagesschau-1687|am freitag gibt es richtung südosten noch zum teil dichte wolken und einzelne schauer sonst scheint häufig die sonne|Was wird am Freitag erwartet?|Am Freitag gibt es dichte Wolken und einzelne Schauer, aber häufig scheint auch die Sonne.
30January_2010_Saturday_tagesschau-1690|und nun die wettervorhersage für morgen sonntag den einunddreißigsten januar|Wann ist die Wettervorhersage, die erwähnt wird?|Für morgen, den einunddreißigsten Januar.
30January_2010_Saturday_tagesschau-1691|das tief das von der norwegischen küste südwärts zieht bringt morgen in deutschland neue schneeschauer|Wann bringt das Tief neue Schneeschauer nach Deutschland?|Morgen.
30January_2010_Saturday_tagesschau-1692|in der nacht vor allem im westen und süden weitere schneeschauer sonst klart es teilweise auf|Wann werden weitere Schneeschauer erwartet?|In der Nacht.
30January_2010_Saturday_tagesschau-1693|am tag mal dichte wolken mal etwas sonnenschein den gibt es am ehesten in teilen sachsens und brandenburgs|Wann gibt es am ehesten dichte Wolken und etwas Sonnenschein?|Am Tag, insbesondere in Teilen Sachsens und Brandenburgs.
30January_2010_Saturday_tagesschau-1694|sonst kommen von westen hier und da schneeschauer auf|Wann kommen die Schneeschauer von Westen?|Die Schneeschauer kommen hier und da auf.
30January_2010_Saturday_tagesschau-1695|der wind weht schwach bis mäßig im norden und im bergland auch frisch bis stark aus süd bis west|Wie stark weht der Wind im Norden und im Bergland?|Der Wind weht schwach bis mäßig im Norden und frisch bis stark im Bergland.
30January_2010_Saturday_tagesschau-1696|heute nacht werte zwischen minus zwei und minus zwölf grad|Welche Temperaturen werden heute Nacht erwartet?|Temperaturen zwischen minus zwei und minus zwölf Grad.
30January_2010_Saturday_tagesschau-1697|bei längerem aufklaren vereinzelt auch bis minus fünfzehn grad vorsicht wegen glätte|Was passiert bei längerem Aufklaren in Bezug auf die Temperatur?|Die Temperatur kann vereinzelt bis minus fünfzehn Grad fallen.
30January_2010_Saturday_tagesschau-1698|am tag minus fünf grad im thüringer wald und bis plus drei grad am niederrhein|Wie ist die Temperatur tagsüber im Thüringer Wald?|Minus fünf Grad.
30January_2010_Saturday_tagesschau-1699|am montag einige schneeschauer im nordwesten auch gewittrige schneeregenschauer|Welche Witterung wird am Montag im Nordwesten erwartet?|Am Montag sind einige Schneeschauer und gewittrige Schneeregenschauer im Nordwesten zu erwarten.
30January_2010_Saturday_tagesschau-1701|zunächst schneit es meist später geht der schnee vor allem im nordwesten und westen in regen über|Was passiert zuerst, bevor der Schnee in Regen übergeht?|Zunächst schneit es meist.
30January_2010_Saturday_tagesschau-1702|dabei ist es windig im bergland stürmisch|Wie ist das Wetter im Bergland?|Es ist windig und stürmisch.
30January_2010_Saturday_tagesschau-1703|am mittwoch wieder teils regen teils schnee|Was wird am Mittwoch erwartet?|Am Mittwoch wird teils Regen und teils Schnee erwartet.
01November_2010_Monday_heute-1704|guten abend liebe zuschauer|Wann sagt man guten Abend?|Man sagt guten Abend am Abend.
01November_2010_Monday_heute-1705|die wetterlage stellt sich jetzt um|Wann ändert sich die Wetterlage?|Die Wetterlage stellt sich jetzt um.
01November_2010_Monday_heute-1706|aus einem goldenen oktober wird jetzt doch eher ein grauer november|Was passiert mit dem goldenen Oktober in der Zeit?|Er verwandelt sich in einen grauen November.
01November_2010_Monday_heute-1707|heut war es im rhein main gebiet noch mal freundlich|Wann war es im Rhein-Main-Gebiet freundlich?|Heute.
01November_2010_Monday_heute-1708|das ist unser studio überigens da unten stehe ich jetzt zur zeit drin|Wo stehst du jetzt zur Zeit?|Ich stehe jetzt zur Zeit in unserem Studio da unten.
01November_2010_Monday_heute-1709|auf jeden fall die nächste regenfront kommt aus westen wird morgen bereits über der nordsee und dann die nordseeküste erreichen|Wann wird die nächste Regenfront die Nordseeküste erreichen?|Morgen.
01November_2010_Monday_heute-1710|und danach geht es in den nächsten tagen mit weiterem regen weiter und dazu auch wind und mal kühlere mal etwas mildere luft|Wann wird es in den nächsten Tagen weiter mit Regen gehen?|In den nächsten Tagen.
01November_2010_Monday_heute-1711|heute nacht stark bewölkt im norden dazu immer wieder ein bisschen regen|Was wird heute Nacht im Norden erwartet?|Stark bewölkt mit ein bisschen Regen.
01November_2010_Monday_heute-1714|die temperaturen morgen früh meist zwischen vier und neun grad|Wie hoch werden die Temperaturen morgen früh sein?|Die Temperaturen werden meist zwischen vier und neun Grad liegen.
01November_2010_Monday_heute-1715|ja neun grad sind die höchsttemperaturen morgen im osten im westen geht es nochmal rauf auf vierzehn grad aber das war es|Was sind die Höchsttemperaturen morgen im Osten und im Westen?|Im Osten sind es neun Grad, im Westen vierzehn Grad.
01November_2010_Monday_heute-1716|es gibt keinen föhn mehr am alpenrand und deshalb auch keine achtzehn grad mehr dort|Warum gibt es keine achtzehn Grad mehr am Alpenrand?|Weil es keinen Föhn mehr gibt.
01November_2010_Monday_heute-1717|es ist stark bewölkt es regnet ein bisschen am alpenrand|Was passiert am Alpenrand, während es stark bewölkt ist?|Es regnet ein bisschen.
01November_2010_Monday_heute-1718|ansonsten sonne vom schwarzwald bis zum erzgebirge und berlin|Wann ist die Sonne vom Schwarzwald bis zum Erzgebirge und Berlin zu sehen?|Ansonsten ist die Sonne zu sehen.
01November_2010_Monday_heute-1719|aber im norden wieder grau und nachmittags regnet es auch an der nordsee und im nordwesten bei einem frischen zum teil kräftigen südwestwind|Was passiert am Nachmittag im Norden und Nordwesten?|Am Nachmittag regnet es an der Nordsee und im Nordwesten.
01November_2010_Monday_heute-1720|in den nächsten tagen wechselhaftes wetter bei uns dann in deutschland|Wann wird das wechselhafte Wetter in Deutschland erwartet?|In den nächsten Tagen.
01November_2010_Monday_heute-1721|es wird vor allem im norden windig und regnerisch|Wo wird es windig und regnerisch?|Im Norden.
01November_2010_Monday_heute-1722|und am donnerstag ist es vorübergehend mal ein bisschen milder|Wann ist es vorübergehend mal ein bisschen milder?|Am Donnerstag.
01November_2010_Monday_heute-1723|ihnen einen schönen abend und machen sie es gut|Was wird den Personen gewünscht?|Ihnen wird ein schöner Abend gewünscht.
12January_2011_Wednesday_tagesschau-1724|und nun die wettervorhersage für morgen donnerstag den dreizehnten januar|Wann ist die Wettervorhersage, die erwähnt wird?|Für morgen, Donnerstag, den dreizehnten Januar.
12January_2011_Wednesday_tagesschau-1725|das tief über dem atlantik lenkt regenwolken und sehr milde luft zu uns nach deutschland|Was lenkt Regenwolken und milde Luft nach Deutschland?|Ein Tief über dem Atlantik lenkt sie.
12January_2011_Wednesday_tagesschau-1726|bis freitag kommen zum teil große regenmengen zusammen dazu starkes tauwetter in den bergen|Welche Wetterbedingungen werden bis Freitag erwartet?|Bis Freitag werden große Regenmengen und starkes Tauwetter in den Bergen erwartet.
12January_2011_Wednesday_tagesschau-1728|heute nacht regnet es verbreitet kräftig in den östlichen mittelgebirgen ist anfangs noch schnee mit dabei|Was wird heute Nacht in den östlichen Mittelgebirgen beobachtet?|Heute Nacht regnet es verbreitet kräftig, und anfangs ist auch noch Schnee mit dabei.
12January_2011_Wednesday_tagesschau-1729|im nordosten regnet es kaum|Wann regnet es im Nordosten kaum?|Es regnet im Nordosten kaum zurzeit.
12January_2011_Wednesday_tagesschau-1730|auch am tag regnet es zum teil für längere zeit ergiebig mit den größten regenmengen muss in den gebirgen gerechnet werden|Wann regnet es ergiebig, auch tagsüber?|Es regnet tagsüber zum Teil für längere Zeit ergiebig.
12January_2011_Wednesday_tagesschau-1733|am tag drei grad auf rügen und vierzehn grad im südwesten|Wie hoch ist die Temperatur auf Rügen am Tag?|Drei Grad.
12January_2011_Wednesday_tagesschau-1734|am freitag verlagern sich die regenwolken von der mitte in den nordosten|Wohin verlagern sich die Regenwolken am Freitag?|In den Nordosten.
12January_2011_Wednesday_tagesschau-1735|im süden zeigt sich teilweise die sonne|Wann zeigt sich die Sonne im Süden?|Die Sonne zeigt sich teilweise im Süden.
12January_2011_Wednesday_tagesschau-1736|am samstag im süden mal sonne mal wolken sonst hier und da regen und viel wind|Was wird am Samstag im Süden erwartet?|Am Samstag wird im Süden mal Sonne, mal Wolken, hier und da Regen und viel Wind erwartet.
12January_2011_Wednesday_tagesschau-1737|am sonntag im norden nur wenig regen richtung süden scheint oft die sonne|Was wird am Sonntag im Norden erwartet?|Nur wenig Regen.
09March_2011_Wednesday_heute-1738|ja liebe zuschauer|Wann sagt der Sprecher 'ja liebe zuschauer'?|Der Sprecher sagt es während einer Ansprache an das Publikum.
09March_2011_Wednesday_heute-1739|es wird nicht mehr so sonnig der anfang heute im norden schon gemacht sie haben es auch gehört in griechenland hat es geschneit|Was wird im Norden heute gemacht?|Der Anfang wird im Norden heute gemacht.
09March_2011_Wednesday_heute-1740|und bei uns wird es milder und die wolken bringen nicht nur milde luft sondern immer wieder auch etwas regen|Was wird in der Zukunft bei uns milder bringen?|Die milde Luft und der Regen.
09March_2011_Wednesday_heute-1743|mit der milden luft werden die nächte allmählich milder also heute nacht schon verbreitet frostfrei leichter frost vielleicht noch im osten und am alpenrand|Wie wird das Wetter in den kommenden Nächten im Vergleich zu heute Nacht sein?|Die Nächte werden allmählich milder und sind also frostfrei, während es heute Nacht möglicherweise noch leichten Frost im Osten und am Alpenrand gibt.
09March_2011_Wednesday_heute-1744|und regen wird es vor allen dingen in der mitte noch ein bisschen geben der dann auch richtung süden zieht|Wann wird es noch ein bisschen Regen geben?|In der Mitte.
09March_2011_Wednesday_heute-1745|morgen hängen dann noch so ein paar regenreste im südosten im norden kommt dann schon wieder neuer regen an und nach süden hin wird es dann langsam freundlicher|Was wird morgen im Südosten noch vorhanden sein?|Morgen werden dort noch einige Regenreste vorhanden sein.
09March_2011_Wednesday_heute-1746|auf jeden fall bleibt es erst mal trocken|Was wird zuerst passieren, bevor es vielleicht regnet?|Es bleibt erst mal trocken.
09March_2011_Wednesday_heute-1747|die temperaturen nicht mehr ganz so mild wie heute aber immer noch ganz erfreulich zwischen sechs grad an der küste und dreizehn grad am oberrhein|Wie sind die Temperaturen im Vergleich zu heute?|Sie sind nicht mehr ganz so mild wie heute, aber immer noch erfreulich.
09March_2011_Wednesday_heute-1748|und der freitag im norden noch leicht durchwachsen der samstag für alle ein richtig klasse tag bis siebzehn grad|Wie ist das Wetter am Freitag im Norden?|Am Freitag im Norden ist das Wetter leicht durchwachsen.
09March_2011_Wednesday_heute-1749|am sonntag dann im nordwesten mehr wolken einzelne schauer aber auf jeden fall bleibt es erst mal mild|Was wird am Sonntag im Nordwesten erwartet?|Am Sonntag werden im Nordwesten mehr Wolken und einzelne Schauer erwartet, aber es bleibt mild.
09March_2011_Wednesday_heute-1750|das war es vom wetter ihnen noch einen schönen abend|Was wird am Ende des Satzes gewünscht?|Einen schönen Abend.
25February_2010_Thursday_tagesschau-1751|und nun die wettervorhersage für morgen freitag den sechsundzwanzigsten februar|Was ist das Datum der Wettervorhersage in dem Satz?|Der sechundzwanzigste Februar.
25February_2010_Thursday_tagesschau-1752|das tief das sich zur nordsee verlagert bestimmt in der nacht und auch morgen tagsüber unser wetter|Wann beeinflusst das tief unser Wetter?|In der Nacht und morgen tagsüber.
25February_2010_Thursday_tagesschau-1753|es regnet immer wieder und es ist teilweise windig|Wie oft regnet es laut dem Satz?|Es regnet immer wieder.
25February_2010_Thursday_tagesschau-1754|auch in den nächsten tagen setzt sich die wechselhafte witterung fort|Wie lange wird die wechselhafte Witterung fortgesetzt?|In den nächsten Tagen.
25February_2010_Thursday_tagesschau-1755|heute nacht regnet es im süden zum teil kräftig|Wann regnet es im Süden?|Heute Nacht.
25February_2010_Thursday_tagesschau-1756|nach mitternacht geht der regen im westen in schauer über|Was passiert nach Mitternacht im Westen?|Der Regen geht in Schauer über.
25February_2010_Thursday_tagesschau-1757|am tag regnet es zunächst in den östlichen und südöstlichen landesteilen noch verbreitet sonst ist es wechselhaft mit schauern|Welche Wetterbedingungen herrschen am Tag in den östlichen und südöstlichen Landesteilen?|Am Tag regnet es zunächst dort verbreitet.
25February_2010_Thursday_tagesschau-1758|bis zum abend schneit es oberhalb von neunhundert bis sechshundert metern|Wann schneit es oberhalb von neunhundert bis sechshundert Metern?|Bis zum Abend.
25February_2010_Thursday_tagesschau-1759|der wind weht mäßig bis frisch mit stürmischen böen muss gerechnet werden bei schauern sturmböen auf den bergen einzelne orkanböen|Was für Windverhältnisse werden in der Aussage beschrieben?|Mäßiger bis frischer Wind mit stürmischen Böen und einzelnen Orkanböen auf den Bergen.
25February_2010_Thursday_tagesschau-1760|heute nacht acht grad am oberrhein null grad im bayerischen wald|Wie viele Grad gibt es heute Nacht am Oberrhein?|Heute Nacht gibt es am Oberrhein acht Grad.
25February_2010_Thursday_tagesschau-1762|am samstag ist es im süden zum teil freundlich sonst regnet es hier und da im bergland auch schnee|Was wird am Samstag im Süden erwartet?|Im Süden wird es zum Teil freundlich erwartet.
25February_2010_Thursday_tagesschau-1763|am sonntag regnet es mancherorts an den alpen föhn dort auch mal sonne starker bis stürmischer wind|Was wird am Sonntag in den Alpen passieren?|Am Sonntag wird es mancherorts regnen, es gibt aber auch Föhn und manchmal Sonne.
